"","InitialInterestRate","ppp_treated","agriculture","mining","utilities","construction","manufacturing","wholesale_trade","retail_trade","transport_ware","information","finance_ins","real_estate","professional","admin_support","education","healthcare","arts_entertain","accommodation","other_services","public_admin","age_established","age_new","age_startup","age_changed_owner","processing_plp","processing_express","processing_7a_general","collateral","commit","pif","charge_off","cancelled","has_franchise","west","northeast","midwest","pct_black","pct_native","pct_asian","pct_pacific","pct_other","pct_multiracial","approval_month_index","regional_bank","community_bank","fintech","cdfi","other_institution","LMIIndicator","Race","ApprovalYearMonth","JobsSupported","GrossApproval","race_black","race_asian","race_native","race_white","race_unanswered","race_multi","race_pacific","race_puerto_rican","hispanic","not_hispanic","ethnicity_unanswered","log_approval_amount","zip_code"
"38783",4.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2.53384511644795,0.217853623113232,4.34410498469838,0.106333316043363,1.23969085533482,5.80683645417293,17,0,1,0,0,0,"N","White","2021-09",5,1400000,0,0,0,1,0,0,0,0,0,1,0,14.1519827945855,"80920"
"38803",11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11.239732995856,0.138961264547507,26.7574877788531,0,1.42187151045932,3.68371423608526,54,0,0,1,0,0,"N","White","2024-10",43,500000,0,0,0,1,0,0,0,0,0,1,0,13.1223633774043,"30024"
"38807",6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,16.8946231795781,0.404230577551359,1.05764438783986,0.337781715488122,2.55274378426269,2.78531480148402,16,0,1,0,0,0,"N","Unanswered","2021-08",55,4815500,0,0,0,0,1,0,0,0,0,0,1,15.3873504399831,"23005"
"38811",4.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.34918352675362,3.87182910547397,0.626476327410907,0,2.70103728047653,3.69723734209716,11,0,1,0,0,0,"N","Unanswered","2021-03",10,150000,0,0,0,0,1,0,0,0,0,0,1,11.9183905730784,"58854"
"38833",9.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2.94990073572346,1.0323484760014,5.99089104285881,0.140137802172136,37.0851337148196,7.79633306084316,58,0,1,0,0,0,"Y","Unanswered","2025-02",17,670000,0,0,0,0,1,0,0,0,0,0,1,13.4150329913671,"95407"
"38838",10.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,2.06118512537568,0.40371417036738,12.2841250616786,0.085228547077558,3.21401336742475,8.80994034001704,48,0,1,0,0,0,"N","Asian","2024-04",3,1045300,0,1,0,0,0,0,0,0,0,1,0,13.8598144835208,"92688"
"38844",6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,16.9492599752797,0.342281241086426,15.0191740880423,0.0158463537540012,3.9362342724939,9.13066903305549,3,0,0,0,0,0,"N","Asian","2020-07",0,200000,0,1,0,0,0,0,0,0,0,1,0,12.2060726455302,"94610"
"38848",9.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,3.67765162004985,0,4.6330656327887,0,0.168928274716145,3.36748823040709,32,0,1,0,0,0,"N","White","2022-12",18,332800,0,0,0,1,0,0,0,0,0,1,0,12.7152969879292,"19083"
"38855",4.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.976591995972817,0.256732947394916,0.659451296249685,0,0.221495091870123,3.07072741001762,4,0,1,0,0,0,"N","White","2020-08",1,57300,0,0,0,1,0,0,0,0,0,1,0,10.9560559027028,"49735"
"38861",5.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,95.1875871264925,0.354566943451118,0.262137099218134,0.0590944905751864,0.701557670161828,0.857627735014243,16,0,0,0,0,0,"Y","Black or African American","2021-08",3,642600,1,0,0,0,0,0,0,0,0,1,0,13.3732777256639,"30331"
